CWE name,Availability,Confidentiality,Integrity,Access Control,Non-Repudiation
598,0,1,0,0,0
671,0,0,0,0,0
322,0,1,0,1,0
15,0,0,0,0,0
710,0,0,0,0,0
35,0,1,1,0,0
407,1,0,0,0,0
688,0,0,0,0,0
350,0,0,0,1,0
228,1,0,1,0,0
1329,0,1,1,1,0
1283,0,1,0,0,0
680,1,1,1,0,0
315,0,1,0,0,0
1004,0,1,1,0,0
451,0,0,0,1,1
208,0,1,0,1,0
648,1,1,1,1,0
644,1,1,1,0,0
1336,0,0,1,0,0
911,0,0,0,0,0
303,0,0,0,1,0
620,0,0,0,1,0
757,0,0,0,1,0
778,0,0,0,0,1
242,0,0,0,0,0
64,0,1,1,0,0
1076,0,0,0,0,0
112,0,0,1,0,0
283,0,0,0,1,0
